old,weird,new,lng,lat
B275,275,589,-73.96563307,40.68650065
B275,275,590,-73.96563307,40.68650065
B276,276,591,-74.0104554,40.71748752
B276,276,592,-74.0104554,40.71748752
B278,278,593,-73.98476437,40.69766564
B278,278,594,-73.98476437,40.69766564
B279,279,595,-74.00167,40.707873
B279,279,596,-74.00167,40.707873
B280,280,597,-73.99510132,40.73331967
B280,280,598,-73.99510132,40.73331967
B281,281,599,-73.97371465,40.7643971
B281,281,600,-73.97371465,40.7643971
B282,282,601,-73.96841526,40.70764494
B282,282,602,-73.96841526,40.70764494
B284,284,603,-74.00263761,40.73901691
B284,284,604,-74.00263761,40.73901691
B285,285,605,-73.99074142,40.73454567
B285,285,606,-73.99074142,40.73454567
B289,289,607,-73.95881081,40.6845683
B289,289,608,-73.95881081,40.6845683
B291,291,609,-73.984844,40.713126
B291,291,610,-73.984844,40.713126
B293,293,611,-73.99102628,40.73020661
B293,293,612,-73.99102628,40.73020661
B295,295,613,-73.99293911,40.71406667
B295,295,614,-73.99293911,40.71406667
B296,296,615,-73.9970468,40.71413089
B296,296,616,-73.9970468,40.71413089
B297,297,617,-73.986923,40.734232
B297,297,618,-73.986923,40.734232
B298,298,619,-73.9796772,40.68683208
B298,298,620,-73.9796772,40.68683208
B301,301,621,-73.98368779,40.72217444
B301,301,622,-73.98368779,40.72217444
B302,302,623,-73.97793172,40.72082834
B302,302,624,-73.97793172,40.72082834
B303,303,625,-73.99949601,40.72362738
B303,303,626,-73.99949601,40.72362738
B304,304,627,-74.01361706,40.70463334
B304,304,628,-74.01361706,40.70463334
B305,305,629,-73.96724467,40.76095756
B305,305,630,-73.96724467,40.76095756
B306,306,631,-74.00530063,40.70823502
B306,306,632,-74.00530063,40.70823502
B307,307,633,-73.98990025,40.71427487
B307,307,634,-73.98990025,40.71427487
B308,308,635,-73.99851193,40.71307916
B308,308,636,-73.99851193,40.71307916
B309,309,637,-74.013012,40.7149787
B309,309,638,-74.013012,40.7149787
B310,310,639,-73.98912867,40.68926942
B310,310,640,-73.98912867,40.68926942
B311,311,641,-73.98802084,40.7172274
B311,311,642,-73.98802084,40.7172274
B312,312,643,-73.989111,40.722055
B312,312,644,-73.989111,40.722055
B313,313,645,-73.96751037,40.69610226
B313,313,646,-73.96751037,40.69610226
B314,314,647,-73.990539,40.69383
B314,314,648,-73.990539,40.69383
B315,315,649,-74.00670227,40.70355377
B315,315,650,-74.00670227,40.70355377
B316,316,651,-74.00653609,40.70955958
B316,316,652,-74.00653609,40.70955958
B317,317,653,-73.98185424,40.72453734
B317,317,654,-73.98185424,40.72453734
B319,319,655,-74.009447,40.711066
B319,319,656,-74.009447,40.711066
B320,320,657,-74.005549,40.717571
B320,320,658,-74.005549,40.717571
B321,321,659,-73.98971773,40.69991755
B321,321,660,-73.98971773,40.69991755
B322,322,661,-73.991218,40.696192
B322,322,662,-73.991218,40.696192
B323,323,663,-73.98631746,40.69236178
B323,323,664,-73.98631746,40.69236178
B324,324,665,-73.981013,40.689888
B324,324,666,-73.981013,40.689888
B325,325,667,-73.98473765,40.73624527
B325,325,668,-73.98473765,40.73624527
B326,326,669,-73.98426726,40.72953837
B326,326,670,-73.98426726,40.72953837
B327,327,671,-74.01658354,40.7153379
B327,327,672,-74.01658354,40.7153379
B328,328,673,-74.00965965,40.72405549
B328,328,674,-74.00965965,40.72405549
B330,330,675,-74.00562789,40.71450451
B330,330,676,-74.00562789,40.71450451
B331,331,677,-73.99193043,40.71173107
B331,331,678,-73.99193043,40.71173107
B332,332,679,-73.97948148,40.71219906
B332,332,680,-73.97948148,40.71219906
B334,334,681,-73.99726235,40.74238787
B334,334,682,-73.99726235,40.74238787
B335,335,683,-73.99404649,40.72903917
B335,335,684,-73.99404649,40.72903917
B336,336,685,-73.99906065,40.73047747
B336,336,686,-73.99906065,40.73047747
B337,337,687,-74.00838676,40.7037992
B337,337,688,-74.00838676,40.7037992
B339,339,689,-73.97422494,40.72580614
B339,339,690,-73.97422494,40.72580614
B340,340,691,-73.98776323,40.71269042
B340,340,692,-73.98776323,40.71269042
B341,341,693,-73.97628939,40.71782143
B341,341,694,-73.97628939,40.71782143
B342,342,695,-73.98016555,40.71739973
B342,342,696,-73.98016555,40.71739973
B343,343,697,-73.96986848,40.69794
B343,343,698,-73.96986848,40.69794
B344,344,699,-73.95380904,40.6851443
B344,344,700,-73.95380904,40.6851443
B345,345,701,-73.99704374,40.73649403
B345,345,702,-73.99704374,40.73649403
B346,346,703,-74.00618026,40.73652889
B346,346,704,-74.00618026,40.73652889
B347,347,705,-74.008591,40.728846
B347,347,706,-74.008591,40.728846
B349,349,707,-73.98329859,40.71850211
B349,349,708,-73.98329859,40.71850211
B350,350,709,-73.9870295,40.71559509
B350,350,710,-73.9870295,40.71559509
B351,351,711,-74.00612572,40.70530954
B351,351,712,-74.00612572,40.70530954
B353,353,713,-73.97431458,40.68539567
B353,353,714,-73.97431458,40.68539567
B354,354,715,-73.96223558,40.69363137
B354,354,716,-73.96223558,40.69363137
B355,355,717,-73.99974372,40.71602118
B355,355,718,-73.99974372,40.71602118
B356,356,719,-73.98261206,40.71622644
B356,356,720,-73.98261206,40.71622644
B357,357,721,-73.99158043,40.73261787
B357,357,722,-73.99158043,40.73261787
B358,358,723,-74.00711384,40.73291553
B358,358,724,-74.00711384,40.73291553
B359,359,725,-73.97498696,40.75510267
